@relation resultado

@attribute tweet string
@attribute relevante {N,S}

@data

'gente senhora vila desa edicao',N
'mirian engole sapo ai melhor voltar pro consultorio em',S
'proxima prova equipe bota todos contra mirian ai sim quero ver embuste sai',S
'masterchefbr pidunchos they are everywhere',N
'pequi bom recomendo',N
'ave oq mirian chata',S
'lavada toma mirian',S
'mirian ta achando q m 07 faz tudo nesa vida',S
'janeiro 2017 ano maio',N
'masterchefbr equipe pidunchos aumentando',N
'ixi colega cozinha mexer panela outros hahah mais pedir opinao equipe importante sim',N
'adoro todos time azul mirian perdeu sozinha prova',S
'chato q mirian so ana repetindo premios toda terca',S
'time vermelho supremo',N
'lilishil qdo zamiga desencalha',N
'equipe azul indo pro mezanino',S
'partiu prova eliminacao flw vlw',N
'briga',N
'climao',N
'enquanto abrizio usando camiseta estampa chaveco personagem che',N
'gente maior climao',S
'tretas tretas socoro',S
'mirian canal exposto molar participantes',S
'segura deboche fabrizio',S
'teievizona cade mirian nao fodona mana ah ok perdeu prova lavada ne',S
'mulher nao conseguiu cozinhar mandioca joga culpa outro ficou sozinho peixe hahahahaha',S
'cara poeira novo mirian',S
'agentecorneta treta gente como',N
'acareacao mirian',S
'mirian completamente sapateada grupo',S
'mirian vs fabrizio pow pow pow',S
'mirian sair ja ta achando casos familia programa so briga quer mandar tudo',S
'amando treta',S
'quanta treta',S
'treta escondam facas hahahaha',S
'deus amo programa',N
'forumchaves enquanto abrizio usando camiseta estampa chaveco personagem chespirito',N
'mirian sapateada grupo amo',S
'pisa nesa embuste fabrizio',S
'programa ta demais hoje',S
'debora dentes quadrado',N
'cada dia pasa mezanino torna desejado',S
'ai leonardo pra entrar treta serve',S
'ana paula tambem fica cutucando povo pra espizinhar mirian',S
'ana paula padrao rainha consegue forma sutil clase instaurar maior torta climao voce quer tiago leifert',S
'ate treta daqui sao melhores b',S
'mulher fala pra nao fazer agora paga santa ah vai fuder',N
'leonardo pula neh posicoes jogo neh olho',N
'vao cozinhar tiranosauro rex',N
'torta climao',S
'edswaglima its time ufc masterchef fight',N
'equipe vermelha arasaram desa vms morfar masterchefbr',N
'lokingforlara debora inteligente demais bicho mulherao pora',N
'quero mirian',S
'masterchefbr nao pisar menos',N
'treta vamos cozinhar truta',S
'mirian insuportavel agora imagina sogra deusmelivre',S
'mano prova hj ta embacada certo truta',S
'lohvaladares agora hora fabrizio mostrar sabe fazer bom peixe',S
'trutas prova muita treta fogacahenrique',S
'vejo pote sorvete geladeira descubro feijao dentro',N
'agora fabrizio pisa mirian',S
'prato devia ser torta climao',S
'quero meme vivian escolhendo equipe',N
'nonlacerda equipe vermelha arasaram desa vms morfar masterchefbr',N
'lembrando atual situacao pais',N
'amaurit 10 trutas 10 tretas',S
'cozinha azulinhasaereas nao para entao bora cozinhar fogacahenrique conferir menu e',N
'eza cara paola',S
'treta prova mto truta',S
'mil trutas mil tretas',S
'cleytu prato devia ser torta climao',S
'jonasoficial peixe tempo so pode ser maldicao peixes',N
'alguem tira fabrizio lado mirian pfv',S
'chegamos lt3',N
'45 minutos',N
'yuko tao fofinha q parece biscoito shrek',S
'marthineto lembrando atual situacao pais',N
'dao 3 minutos mercado nao consigo entrar',S
'so lembro lavada desa 7 x 1 copa mundo agora 58 x 2 masterchefbr',N
'comecam falar mal mim',N
'masterchefbr pidunchos they are everywhere',N
